arquivo;nome;genero;selo_anterior;selo_revisado;justificativa;rega_ficha
encyclia-bracteata.js;Encyclia bracteata;Encyclia;moderada;sazonal;"Repouso/redução hídrica sazonal explícita; o selo deve indicar mudança de regime ao longo do ciclo.";Durante novos brotos e raízes, regue bem e espere o substrato se aproximar da secagem antes da próxima irrigação. Após a maturação dos pseudobulbos, reduza discretamente a frequência, sem impor repouso seco prolongado. O risco principal no litoral quente é manter raízes úmidas e abafadas por muitas horas.
encyclia-gallopavina.js;Encyclia gallopavina;Encyclia;moderada;frequente;"A ficha pede água abundante/regular durante crescimento; não é adequado reduzir a 'moderada'.";Regue abundantemente durante a formação de novos brotos e raízes, sempre permitindo drenagem completa. Após o pseudobulbo amadurecer, aumente um pouco o intervalo entre regas, sem desidratar severamente a planta. No litoral quente, ajuste a frequência pela velocidade real de secagem, não pelo calendário.
encyclia-mineirinha.js;Encyclia ‘Mineirinha’;Encyclia;moderada;frequente;"A ficha pede água abundante/regular durante crescimento; não é adequado reduzir a 'moderada'.";Regue abundantemente durante a brotação e deixe o substrato secar completamente entre as regas. Após o amadurecimento dos pseudobulbos, reduza a frequência. Nunca use prato sob o vaso nem permita água acumulada no fundo.
encyclia-oncidioides.js;Encyclia oncidioides;Encyclia;moderada;frequente;"A ficha pede água abundante/regular durante crescimento; não é adequado reduzir a 'moderada'.";Durante a emissão de brotos e raízes, regue abundantemente e permita que o substrato seque completamente antes da próxima irrigação. Após a maturação dos pseudobulbos, aumente gradualmente o intervalo entre as regas, sem impor desidratação severa nem seguir um número fixo de dias. Observe o clima, a ventilação, o tamanho do vaso e a firmeza dos pseudobulbos.
epicattleya-rene-marques.js;Epicattleya René Marqués;Epicattleya;moderada;moderada;"Sem indicação confiável de extremos; mantida rega moderada como classificação conservadora.";Regue generosamente durante a emissão de brotos e raízes, permitindo que o substrato se aproxime da secagem antes da próxima irrigação. Reduza a frequência no inverno ou quando não houver crescimento ativo. Evite água acumulada no miolo das folhas e nas inflorescências em formação.
epidendrum-centropetalum.js;Epidendrum centropetalum;Epidendrum;moderada;moderada;"Hábito com pseudobulbos/raízes epífitas favorece ciclo molhar-secar; rega moderada é coerente.";Mantenha hidratação regular durante todo o ano, sobretudo enquanto os caules e raízes estão em crescimento. O suporte deve drenar rapidamente e nunca permanecer encharcado. Depois que os caules amadurecem, pode-se ampliar discretamente o intervalo entre regas, sem permitir desidratação prolongada.
eria-hyacinthoides.js;Bryobium hyacinthoides;Bryobium;moderada;moderada;"Hábito com pseudobulbos/raízes epífitas favorece ciclo molhar-secar; rega moderada é coerente.";Mantenha regas regulares e frequentes durante os períodos quentes, permitindo apenas uma leve aeração na camada superficial do substrato entre as irrigações. No inverno ou em dias frios, reduza ligeiramente a frequência, mas nunca deixe o substrato secar por completo.
gomesa-recurva.js;Gomesa recurva;Gomesa;moderada;sazonal;"Repouso/redução hídrica sazonal explícita; o selo deve indicar mudança de regime ao longo do ciclo.";Durante a brotação, regue quando o substrato estiver próximo da secagem, mantendo umidade regular sem saturação. Após a maturação dos pseudobulbos, aumente gradualmente o intervalo entre as irrigações, sem permitir enrugamento intenso. No final do inverno, ajuste a água à menor atividade vegetativa, mas não imponha dormência seca.
gongora-bufonia.js;Gongora bufonia;Gongora;moderada;frequente;A ficha explicitamente pede rega frequente ou substrato regularmente úmido.;Durante a emissão de brotos e raízes, regue abundantemente e volte a molhar antes que o conjunto fique completamente seco. As raízes gostam de umidade, mas precisam de oxigênio contínuo. Após a maturação dos pseudobulbos, aumente discretamente o intervalo conforme a evaporação, sem permitir desidratação prolongada ou enrugamento acentuado.
howeara-lava-burst.js;Leomesezia Lava Burst;Leomesezia;moderada;baixa;A ficha indica baixa demanda ou tolerância expressiva à seca.;Regue quando a superfície começar a secar, mantendo umidade leve e regular sem deixar o miolo do vaso saturado. Os pseudobulbos pequenos guardam pouca água e não devem enrugar repetidamente. No inverno ou em períodos chuvosos, reduza apenas de acordo com a evaporação real.
huntleya-meleagris.js;Huntleya meleagris;Huntleya;constante;muito-frequente;"Huntleya é tratado como grupo de alta demanda hídrica; manter raízes/meio úmidos com excelente aeração.";"Mantenha o substrato uniformemente úmido, mas nunca saturado. Como não possui pseudobulbos, a espécie sofre com secas prolongadas; ao mesmo tempo, as raízes também deterioram em meio quente e sem oxigênio. Regue pela manhã e garanta que água acumulada entre as folhas seque antes da noite."
isabelia-virginalis.js;Isabelia virginalis;Isabelia;moderada;moderada;"Hábito com pseudobulbos/raízes epífitas favorece ciclo molhar-secar; rega moderada é coerente.";No calor e durante a brotação, molhe completamente e permita secagem rápida antes da próxima rega. Plantas montadas podem precisar de água quase diária em dias secos e ventilados. No frio, aumente o intervalo, mas não deixe a colônia murchar por períodos prolongados.
isochilus-linearis.js;Isochilus linearis;Isochilus;constante;frequente;"Grupo de raízes finas/folhagem sem grande reserva hídrica; rega regular é mais adequada que selo moderado.";Mantenha umidade regular e volte a regar antes que a touceira permaneça seca por muito tempo. Ao mesmo tempo, permita a entrada de ar no substrato entre as regas. AOS recomenda que espécies do gênero não sequem completamente. No inverno, apenas acompanhe a menor evaporação e reduza proporcionalmente a frequência.
jacquiniella-globosa.js;Jacquiniella globosa;Jacquiniella;frequente;frequente;"Grupo de raízes finas/folhagem sem grande reserva hídrica; rega regular é mais adequada que selo moderado.";Durante o crescimento e nos dias quentes, regue com frequência, especialmente em plantas montadas. Após cada irrigação, permita que raízes e suporte arejem e sequem antes da próxima rega. No frio ou em períodos nublados, reduza conforme a evaporação, sem provocar murchamento persistente das folhas carnosas.
laelia-caulencens.js;Cattleya caulescens;Cattleya;moderada;frequente;"A ficha pede água abundante/regular durante crescimento; não é adequado reduzir a 'moderada'.";Durante crescimento ativo, regue abundantemente e permita drenagem imediata, forte oxigenação e secagem progressiva antes da próxima irrigação. No período de menor atividade, aumente significativamente o intervalo entre regas, sem deixar os pequenos pseudobulbos desidratarem em excesso.
laelia-cinnabarina.js;Cattleya cinnabarina;Cattleya;moderada;moderada;"Hábito com pseudobulbos/raízes epífitas favorece ciclo molhar-secar; rega moderada é coerente.";No crescimento ativo, molhe completamente e permita drenagem rápida e forte oxigenação. Deixe o meio se aproximar da secagem antes da próxima rega, sem submeter a planta a sede crônica. Quando o crescimento desacelerar, aumente moderadamente o intervalo entre as irrigações, sobretudo em períodos mais frios e úmidos.
laelia-fournieri.js;Cattleya fournieri;Cattleya;moderada;moderada;"Hábito com pseudobulbos/raízes epífitas favorece ciclo molhar-secar; rega moderada é coerente.";Durante brotação e enraizamento, regue bem e permita que o meio drene rapidamente e se aproxime da secagem antes da próxima irrigação. Rupícola não significa xerófita absoluta: uma planta pequena em vaso mineral pode secar muito rápido no verão e necessitar de água frequente. No período frio ou de menor atividade, aumente os intervalos, evitando desidratação severa dos pequenos pseudobulbos.
laelia-gloriosa.js;Laelia gloriosa;Laelia;moderada;frequente;"A ficha pede água abundante/regular durante crescimento; não é adequado reduzir a 'moderada'.";Durante a emissão de brotos e raízes novas, regue abundantemente e permita secagem rápida antes da próxima irrigação. Após a maturação dos pseudobulbos, aumente moderadamente o intervalo, especialmente em períodos frios ou nublados, sem causar enrugamento severo.
laelia-lundii-alba.js;Cattleya lundii f. alba;Cattleya;moderada;frequente;O texto exige manutenção regular de umidade e evita secagem prolongada.;Na brotação e emissão de raízes, regue bem e permita secagem rápida. Em montagem no verão, pode exigir regas diárias. Quando o crescimento desacelerar, aumente o intervalo entre irrigações, sem permitir desidratação severa dos pequenos pseudobulbos.
laelia-lundii.js;Cattleya lundii;Cattleya;moderada;frequente;O texto exige manutenção regular de umidade e evita secagem prolongada.;Durante brotação e emissão de raízes, molhe bem e permita secagem rápida. Em montagem, uma planta ativa no verão pode exigir rega diária ou quase diária, desde que as raízes não permaneçam molhadas por longos períodos. Quando o crescimento diminuir, aumente o intervalo entre irrigações. O inverno naturalmente mais seco deve ser reproduzido como redução, não como desidratação prolongada.
laelia-praestans.js;Cattleya praestans;Cattleya;frequente;frequente;"A ficha pede água abundante/regular durante crescimento; não é adequado reduzir a 'moderada'.";Durante brotação e emissão de raízes, regue abundantemente e permita que a mistura perca boa parte da umidade antes da próxima irrigação. A espécie aprecia umidade atmosférica, mas precisa de oxigênio nas raízes. Após o amadurecimento do pseudobulbo, diminua discretamente a frequência sem impor seca prolongada. Em montagem, pode exigir regas muito frequentes no verão quente.
laelia-splendida.js;Laelia splendida;Laelia;moderada;frequente;"A ficha pede água abundante/regular durante crescimento; não é adequado reduzir a 'moderada'.";Regue abundantemente enquanto novos brotos e raízes estiverem ativos, deixando o suporte secar parcialmente antes da próxima irrigação. Com pseudobulbos maduros, aumente moderadamente o intervalo entre regas. Evite raízes permanentemente molhadas.
lc-trick-or-treat.js;Cattlianthe Trick or Treat;Cattlianthe;moderada;frequente;A ficha explicitamente pede rega frequente ou substrato regularmente úmido.;Durante a emissão de brotos e raízes novas, regue abundantemente e deixe o substrato secar de forma clara antes da próxima irrigação. Na fase de enchimento dos pseudobulbos, evite secas longas que produzam frentes menores. Após a maturação, aumente moderadamente o intervalo. Em períodos frios ou chuvosos, ajuste pela evaporação real e regue preferencialmente pela manhã.
leptotes-unicolor.js;Leptotes unicolor;Leptotes;moderada;muito-frequente;"Texto e hábito indicam baixa tolerância à secagem; em montagem a frequência pode ser diária no calor.";"Molhe abundantemente e deixe as raízes secarem antes da próxima irrigação. Em placas de madeira, pode precisar de rega diária no verão; em vasos ou cestos pequenos, regue quando o material estiver quase seco. A espécie tolera melhor uma breve secagem do que permanecer continuamente úmida. No inverno, aumente o intervalo sem permitir enrugamento persistente das folhas."
lockhartia-lunifera.js;Lockhartia lunifera;Lockhartia;frequente;frequente;"Grupo de raízes finas/folhagem sem grande reserva hídrica; rega regular é mais adequada que selo moderado.";Regue com frequência durante crescimento e calor, sobretudo em plantas montadas. Depois de cada irrigação, permita boa aeração e perda do excesso de água antes da próxima. A espécie não tolera seca prolongada, mas raízes permanentemente saturadas também se deterioram. Regue preferencialmente pela manhã para que as bainhas foliares não permaneçam molhadas durante a noite.
ludisia-discolor.js;Ludisia discolor;Ludisia;constante;sazonal;"Repouso/redução hídrica sazonal explícita; o selo deve indicar mudança de regime ao longo do ciclo.";Mantenha umidade regular e uniforme, regando quando a superfície começar a perder umidade. O substrato não deve secar totalmente por longos períodos nem permanecer encharcado. Como os caules caminham sobre a superfície, água parada junto aos nós favorece podridões. No inverno, apenas ajuste a frequência à menor evaporação, sem impor repouso seco.
maxillaria-brasiliensis.js;Maxillaria brasiliensis;Maxillaria;moderada;frequente;"Grupo de raízes finas/folhagem sem grande reserva hídrica; rega regular é mais adequada que selo moderado.";Durante o crescimento, regue quando a mistura estiver próxima da secagem, mantendo umidade regular sem saturação prolongada. Depois da maturação, aumente discretamente o intervalo entre regas. Em períodos frios, úmidos ou nublados, ajuste a frequência à menor evaporação. Pseudobulbos enrugando enquanto o substrato continua molhado são sinal para verificar as raízes, não para aumentar automaticamente a rega.
maxillaria-chrysantha.js;Maxillaria chrysantha;Maxillaria;constante;muito-frequente;"Texto e hábito indicam baixa tolerância à secagem; em montagem a frequência pode ser diária no calor.";Durante o crescimento, mantenha umidade regular, permitindo boa aeração entre regas. O substrato não deve secar completamente por períodos longos nem permanecer saturado. Após a maturação, aumente discretamente o intervalo. Em dias frios, úmidos ou nublados, ajuste a frequência à menor evaporação. Pseudobulbos enrugando progressivamente exigem inspeção das raízes antes de aumentar a água.
maxillaria-leucaimata.js;Maxillaria leucaimata;Maxillaria;moderada;frequente;"Grupo de raízes finas/folhagem sem grande reserva hídrica; rega regular é mais adequada que selo moderado.";Na fase de crescimento, molhe abundantemente e deixe o excesso escorrer. Ajuste vaso, substrato e ventilação para que a mistura perca rapidamente a água livre e volte a receber oxigênio. Após a maturação, amplie levemente o intervalo entre regas, sem impor seca severa. Pseudobulbos enrugados com substrato ainda molhado geralmente indicam perda radicular, abafamento ou substrato degradado — não simples falta de água.
maxillaria-picta.js;Maxillaria picta;Maxillaria;moderada;frequente;"Grupo de raízes finas/folhagem sem grande reserva hídrica; rega regular é mais adequada que selo moderado.";"Durante a brotação, regue generosamente e permita que o substrato perca parte da umidade antes da próxima irrigação. Após a maturação, aumente discretamente o intervalo, sobretudo nas semanas frias e nubladas. A espécie não deve receber seca severa. Pseudobulbos levemente sulcados podem ser normais; enrugamento progressivo exige inspeção. Se houver raízes escuras e substrato molhado, o problema tende a ser perda radicular por falta de oxigênio; se as raízes estiverem firmes e a mistura seca, pode ser deficiência hídrica real."
maxillaria-pumila-ex-minuta.js;Maxillaria pumila (ex-minuta);Maxillaria;constante;frequente;"Grupo de raízes finas/folhagem sem grande reserva hídrica; rega regular é mais adequada que selo moderado.";"Mantenha umidade frequente, regando quando a superfície ou o suporte começar a secar. Em placas, pode precisar de água diária no verão; em microvasos, espere a aeração da camada superior antes de repetir. As raízes capilares devem receber água regularmente, mas não podem permanecer imersas em musgo compactado. Folhas murchas com raízes escuras e moles geralmente indicam perda radicular por excesso de umidade. Folhas murchas com raízes claras e suporte completamente seco indicam déficit hídrico real."
maxillaria-schunkeana.js;Maxillaria schunkeana;Maxillaria;constante;frequente;"Grupo de raízes finas/folhagem sem grande reserva hídrica; rega regular é mais adequada que selo moderado.";Mantenha umidade regular durante o crescimento, deixando a camada superficial e parte do substrato arejarem entre as regas. No frio, aumente ligeiramente o intervalo conforme a evaporação, sem deixar a touceira seca por períodos longos. Pseudobulbos enrugados com substrato molhado e raízes escuras indicam perda radicular por falta de oxigênio. Regue de manhã e evite manter água acumulada na base durante a formação dos botões.
maxillaria-subulata.js;Maxillaria subulata;Maxillaria;moderada;frequente;"Grupo de raízes finas/folhagem sem grande reserva hídrica; rega regular é mais adequada que selo moderado.";"Regue abundantemente na brotação e permita secagem parcial rápida antes da próxima irrigação. As folhas subuladas e os pseudobulbos relativamente pequenos oferecem reserva limitada, portanto evite seca severa. Ao mesmo tempo, não mantenha o fundo do vaso permanentemente molhado. Após a maturação, aumente levemente o intervalo. Pseudobulbos enrugados com substrato molhado e raízes escuras sugerem perda radicular; pseudobulbos enrugados com raízes firmes e substrato seco indicam déficit de água."
maxillaria-tenuifolia.js;Maxillaria tenuifolia;Maxillaria;moderada;moderada;Embora pertença a grupo que aprecia água regular, a própria ficha pede secagem parcial clara entre regas.;"Na fase de crescimento, molhe abundantemente e permita que o substrato perca boa parte da umidade antes da próxima rega. As raízes aéreas dos pseudobulbos superiores podem precisar de borrifação matinal em dias muito quentes. Após a maturação, aumente discretamente o intervalo sem provocar murchamento acentuado. Pseudobulbos levemente sulcados podem ser normais; enrugamento progressivo acompanhado de raízes pretas, ocas ou moles indica perda radicular por abafamento, e não simples falta de água."
mediocalcar-decoratum.js;Mediocalcar decoratum;Mediocalcar;constante;frequente;"Grupo de raízes finas/folhagem sem grande reserva hídrica; rega regular é mais adequada que selo moderado.";"Regue antes da secagem completa. O musgo ou substrato deve permanecer levemente úmido, mas com ar circulando continuamente entre as raízes. Prefira água de chuva, osmose reversa ou condensado limpo de ar-condicionado. Água dura e fertilizante concentrado queimam rapidamente raízes e pontas foliares. Brotações que escurecem pela base indicam abafamento e umidade estagnada; folhas enrugadas com raízes claras e firmes sugerem baixa umidade ou intervalos longos demais entre regas."
miltonia-candida.js;Miltonia candida;Miltonia;moderada;frequente;"Grupo de raízes finas/folhagem sem grande reserva hídrica; rega regular é mais adequada que selo moderado.";"Na emissão de brotos e folhas, regue assim que a superfície do substrato começar a secar. Não permita secagem completa prolongada. Folhas sanfonadas registram interrupções na expansão e não voltam ao formato normal. Antes de simplesmente aumentar as regas, examine as raízes: claras e firmes apontam para seca ou baixa umidade; castanhas, moles ou ocas revelam perda radicular, caso em que mais água agrava o problema. Após a maturação, aumente levemente o intervalo sem desidratar os pseudobulbos."
miltonia-clowesii.js;Miltonia clowesii;Miltonia;constante;frequente;"Grupo de raízes finas/folhagem sem grande reserva hídrica; rega regular é mais adequada que selo moderado.";"Durante a expansão do broto, mantenha umidade regular e deixe apenas a superfície começar a secar antes de regar novamente. Irregularidade hídrica nessa fase causa folhas sanfonadas, mas aumentar a rega não resolve se as raízes já estiverem danificadas. Examine-as: raízes claras e firmes sugerem seca ou baixa umidade; raízes castanhas, moles ou ocas indicam perda radicular por substrato velho ou excesso de retenção. Após a maturação, aumente discretamente o intervalo sem murchar fortemente os pseudobulbos."
miltonia-regnellii.js;Miltonia regnellii;Miltonia;moderada;frequente;"Grupo de raízes finas/folhagem sem grande reserva hídrica; rega regular é mais adequada que selo moderado.";"Na fase de crescimento ativo, regue assim que a camada superficial do substrato começar a secar, mantendo umidade regular sem deixar o vaso continuamente encharcado. A falta de água durante a expansão das folhas pode causar o efeito sanfona, que é permanente. Porém, antes de aumentar a rega, examine as raízes: raízes claras, firmes e ativas sugerem deficiência hídrica ou baixa umidade; raízes escuras, moles ou ocas indicam perda radicular por abafamento, substrato velho ou excesso de água. Após a maturação do pseudobulbo, aumente apenas levemente o intervalo entre as regas."
miltonia-russelliana.js;Miltonia russelliana;Miltonia;frequente;sazonal;"Repouso/redução hídrica sazonal explícita; o selo deve indicar mudança de regime ao longo do ciclo.";Regue com frequência durante a formação de novos pseudobulbos, permitindo que o substrato fique apenas levemente úmido entre as irrigações. Não deixe as raízes permanecerem encharcadas, mas também evite seca prolongada. No inverno, ajuste a frequência pela velocidade real de secagem, sem impor repouso seco severo.
miltonia-spectabilis-var-moreliana.js;Miltonia moreliana;Miltonia;constante;frequente;"Grupo de raízes finas/folhagem sem grande reserva hídrica; rega regular é mais adequada que selo moderado.";"Durante a brotação, mantenha umidade regular e permita apenas que a superfície comece a secar. Secagem prolongada nessa fase gera folhas sanfonadas permanentes. Antes de aumentar a água, examine as raízes: firmes e claras indicam falta de umidade; escuras, ocas ou moles revelam perda radicular e excesso de retenção. Depois que o pseudobulbo amadurecer, aumente discretamente o intervalo sem causar murchamento profundo."
neobenthamia-gracilis.js;Polystachya neobenthamia;Polystachya;constante;moderada;"Sem indicação confiável de extremos; mantida rega moderada como classificação conservadora.";Durante o crescimento ativo, mantenha o substrato uniformemente úmido, regando abundantemente e deixando toda a água excedente escoar. Por ser terrestre, tolera mais retenção que muitas epífitas, mas não aceita solo lodoso, compactado ou sem oxigênio. No período frio, reduza a frequência e mantenha apenas umidade residual. Seca severa no verão paralisa a expansão dos caules, resseca folhas e pode abortar a formação das inflorescências apicais.
notylia-pubescens.js;Notylia pubescens;Notylia;frequente;moderada;Embora pertença a grupo que aprecia água regular, a própria ficha pede secagem parcial clara entre regas.;Se montada em placa, regue diariamente nos dias quentes, permitindo que as raízes sequem em poucas horas. Em cestos ou cuias rasas, regue quando o material interno estiver próximo da secagem. Não deixe a planta passar por seca prolongada durante a formação das hastes, pois os botões podem abortar. Ao mesmo tempo, evite água acumulada na base da folha. Folha única murcha ou dobrada, associada a raízes escuras e moles, geralmente indica perda radicular por abafamento, e não simples falta de água.
octomeria-diaphana.js;Octomeria diaphana;Octomeria;frequente;frequente;"Grupo de raízes finas/folhagem sem grande reserva hídrica; rega regular é mais adequada que selo moderado.";Por não possuir pseudobulbos, necessita de umidade regular. Em placas, regue diariamente no verão ou antes que a fina camada de esfagno seque completamente por vários dias. O suporte deve permanecer úmido apenas o suficiente para hidratar as raízes, mas com circulação de ar constante. Pontas secas podem indicar ar muito seco, excesso de sais ou raízes comprometidas. Brotações escurecendo pela base sugerem abafamento, substrato velho ou água parada nas axilas.
octomeria-micrantha.js;Octomeria micrantha;Octomeria;constante;frequente;"Grupo de raízes finas/folhagem sem grande reserva hídrica; rega regular é mais adequada que selo moderado.";"Mantenha umidade regular, permitindo que o suporte seque parcialmente entre regas. Em placas, normalmente exige irrigação diária no verão, mas tolera a secagem superficial melhor que O. diaphana. No inverno, reduza a frequência em períodos frios e úmidos. Nunca deixe a planta completamente seca por vários dias. Pontas secas podem resultar de baixa umidade, excesso de sais ou raízes comprometidas; brotos escuros na base indicam abafamento."
oncidium-pubes.js;Gomesa pubes;Gomesa;moderada;frequente;"Grupo de raízes finas/folhagem sem grande reserva hídrica; rega regular é mais adequada que selo moderado.";"Regue generosamente enquanto novos brotos e raízes estiverem ativos, permitindo que o substrato se aproxime da secagem antes da próxima irrigação. Após a maturação, aumente moderadamente o intervalo. Pseudobulbos ligeiramente sulcados podem ser normais; enrugamento profundo com substrato úmido sugere raízes mortas por abafamento. Raízes novas apresentam pontas claras ou verdes; raízes escuras, ocas ou moles indicam substrato velho, excesso de água ou falta de oxigênio."
oncidium-pumilum.js;Trichocentrum pumilum;Trichocentrum;moderada;muito-frequente;"Texto e hábito indicam baixa tolerância à secagem; em montagem a frequência pode ser diária no calor.";Regue com boa frequência durante brotação e enraizamento, sempre permitindo secagem rápida. Em placas, borrifos ou regas diárias podem ser necessários no verão se o suporte secar em poucas horas. Após maturação, reduza moderadamente a frequência sem desidratar as folhas.
oncidium-twinkle.js;Oncidium Twinkle;Oncidium;constante;frequente;"Grupo de raízes finas/folhagem sem grande reserva hídrica; rega regular é mais adequada que selo moderado.";"Mantenha umidade regular enquanto brotos e raízes novas estiverem ativos, permitindo secagem superficial entre regas. Após a maturação, reduza ligeiramente sem deixar os pequenos pseudobulbos enrugarem profundamente. Pseudobulbo enrugado com substrato seco sugere falta de água; enrugamento com substrato úmido indica provável perda de raízes. Brotos amolecendo pela base apontam abafamento, água retida ou rega tardia."
ornithocephalus-myrticola.js;Ornithocephalus myrticola;Ornithocephalus;frequente;frequente;"Grupo de raízes finas/folhagem sem grande reserva hídrica; rega regular é mais adequada que selo moderado.";"Reproduza o ciclo natural: molhar, hidratar, secar rapidamente e repetir. Em placas, borrife pela manhã diariamente no calor; uma segunda nebulização ambiental pode ser necessária no início da tarde, sem deixar o leque molhado à noite. Folhas enrugadas lateralmente indicam baixa umidade; base amolecida ou centro escuro indicam podridão; raízes cinzentas e quebradiças sugerem seca; raízes marrons e ocas indicam abafamento."
ornithophora-radicans.js;Gomesa radicans;Gomesa;constante;muito-frequente;"Texto e hábito indicam baixa tolerância à secagem; em montagem a frequência pode ser diária no calor.";Mantenha umidade regular durante o crescimento, mas com secagem superficial rápida e alta oxigenação. Plantas montadas podem necessitar de rega diária nos dias quentes. Regue preferencialmente pela manhã e evite que folhas e raízes permaneçam molhadas durante toda a noite. Reduza no frio sem deixar a touceira ressecar por vários dias.
pabstiella-trifida.js;Pabstiella trifida;Pabstiella;moderada;muito-frequente;"Texto e hábito indicam baixa tolerância à secagem; em montagem a frequência pode ser diária no calor.";"Em placas, regue pela manhã diariamente durante o calor, permitindo secagem parcial com forte ventilação. O suporte não deve secar por vários dias nem permanecer ensopado. Use água de chuva, filtrada ou de baixa salinidade quando possível. Pontas secas podem indicar ar seco, sais ou raízes mortas; base do ramicaule escurecendo indica abafamento; murchamento com suporte úmido sugere perda radicular."
phaius-tankervilleae-alba.js;Calanthe tankervilleae — forma alba;Calanthe;constante;moderada;"Sem indicação confiável de extremos; mantida rega moderada como classificação conservadora.";Durante o crescimento, mantenha o substrato uniformemente úmido, regando novamente antes da secagem completa. A planta tolera mais umidade que muitas epífitas, mas não água parada em meio compacto. No período mais frio ou após maturação dos pseudobulbos, apenas aumente o intervalo conforme a evaporação diminuir.
phalaenopsis-mannii.js;Phalaenopsis mannii;Phalaenopsis;moderada;frequente;"Grupo de raízes finas/folhagem sem grande reserva hídrica; rega regular é mais adequada que selo moderado.";Na fase ativa, regue abundantemente quando as raízes perderem o verde e o suporte estiver quase seco. No inverno, aumente moderadamente o intervalo, imitando a estação mais seca do habitat sem desidratar a planta. Evite água parada na coroa e nas axilas, principalmente durante a noite.
phalaenopsis-pulcherrima.js;Phalaenopsis pulcherrima;Phalaenopsis;moderada;frequente;"Grupo de raízes finas/folhagem sem grande reserva hídrica; rega regular é mais adequada que selo moderado.";Mantenha regas regulares durante todo o ano, molhando bem e permitindo drenagem completa. O substrato pode perder parte da umidade entre regas, mas não deve permanecer encharcado. A espécie tolera pequenas secagens melhor que raízes sufocadas em material compacto.
pleurothallis-modestissima.js;Acianthera modestissima;Acianthera;moderada;frequente;"Grupo de raízes finas/folhagem sem grande reserva hídrica; rega regular é mais adequada que selo moderado.";"Regue bem e deixe o suporte perder parte da umidade antes da próxima rega. Não deixe a planta desidratar por longos períodos, mas evite esfagno permanentemente saturado. No calor, aumente a frequência sem sacrificar aeração; na fase menos ativa, aumente discretamente o intervalo."
promenaea-guttata.js;Promenaea Guttata;Promenaea;constante;sazonal;"Repouso/redução hídrica sazonal explícita; o selo deve indicar mudança de regime ao longo do ciclo.";"Mantenha leve umidade constante durante o crescimento, regando antes de ocorrer secagem prolongada. O substrato deve estar úmido, não saturado. Em períodos frios ou de crescimento lento, aumente moderadamente o intervalo conforme a evaporação cair; não imponha repouso seco rígido."
promenaea-xanthina.js;Promenaea xanthina;Promenaea;constante;muito-frequente;"Promenaea é tratado como grupo de alta demanda hídrica; manter raízes/meio úmidos com excelente aeração.";Durante o crescimento, mantenha o substrato levemente úmido e nunca permita secagem prolongada. Molhe bem e deixe drenar completamente. Depois que os pseudobulbos amadurecerem, reduza moderadamente a frequência por algumas semanas, acompanhando a secagem real do recipiente, sem desidratar a planta.
renanthera-coccinea.js;Renanthera coccinea;Renanthera;frequente;frequente;"Grupo de raízes finas/folhagem sem grande reserva hídrica; rega regular é mais adequada que selo moderado.";Em dias quentes, regue abundantemente pela manhã. Plantas em cesto, com muitas raízes expostas, podem precisar de água diária no verão. Reduza apenas quando a evaporação cair. Evite água parada no ápice durante a noite e nunca mantenha as raízes mergulhadas ou em substrato compacto.
rodricidium.js;Rodricidium (Rdcm.);Rodricidium;moderada;moderada;"Sem indicação confiável de extremos; mantida rega moderada como classificação conservadora.";Regue quando a superfície secar e permita que a mistura perca a maior parte do excesso em 1–2 dias. No frio, aumente o intervalo conforme a evaporação, sem permitir enrugamento severo dos pseudobulbos.
rodriguezia-lanceolata.js;Rodriguezia lanceolata;Rodriguezia;frequente;muito-frequente;"Texto e hábito indicam baixa tolerância à secagem; em montagem a frequência pode ser diária no calor.";Regue com frequência nos meses quentes e durante emissão de brotos e raízes novas. Em plantas montadas, regas diárias podem ser necessárias no verão, desde que as raízes sequem rapidamente. Em vasos, permita leve secagem entre irrigações. No frio ou em períodos chuvosos, reduza a frequência.
rodriguezia-venusta.js;Rodriguezia bracteata;Rodriguezia;constante;muito-frequente;"Texto e hábito indicam baixa tolerância à secagem; em montagem a frequência pode ser diária no calor.";Durante o crescimento, mantenha umidade regular sem saturação. Em placas ou troncos, regas diárias podem ser necessárias nos dias quentes, desde que as raízes sequem superficialmente em poucas horas. Em vasos ou cachepôs, espere o substrato perder boa parte da umidade antes de repetir. Regue preferencialmente pela manhã, permitindo que folhas, bainhas e raízes estejam sem excesso de água à noite.
sophronitis-cernua.js;Cattleya cernua;Cattleya;moderada;frequente;"A ficha pede água abundante/regular durante crescimento; não é adequado reduzir a 'moderada'.";Regue abundantemente pela manhã e assegure que raízes e suporte sequem ao longo do dia. Em plantas montadas, as regas podem ser diárias no verão. Após a maturação dos brotos, reduza ligeiramente a frequência sem deixar os pequenos pseudobulbos desidratarem.
sophronitis-wittigiana.js;Cattleya wittigiana;Cattleya;constante;moderada;"Hábito com pseudobulbos/raízes epífitas favorece ciclo molhar-secar; rega moderada é coerente.";"Durante brotação e enraizamento, regue com frequência pela manhã e permita secagem superficial rápida. Mantenha umidade ambiental alta sem deixar o suporte saturado. No inverno, reduza ligeiramente conforme a evaporação, sem deixar a miniatura seca por muitos dias. Em ondas de calor, borrife o ambiente e o suporte cedo, mas a planta deve chegar seca à noite. Pseudobulbos enrugados podem indicar falta de água ou perda de raízes; examine antes de aumentar regas."
